id type n n_class size degree factor typeWeight n_p p m shift seed
1000 puboi 14 2 "4,10" "2.000000,1" 1.299460 0 4 "0.181185,0.070571,0.129314,0.618930" 5 1 1000
1001 puboi 14 2 "4,10" "2.000000,1" 1.248117 0 4 "0.307272,0.326617,0.228220,0.137891" 5 1 1000
1002 puboi 14 2 "4,10" "2.000000,1" 1.267208 0 4 "0.701016,0.000515,0.279426,0.019043" 5 1 1000
1003 puboi 14 2 "4,10" "2.000000,1" 1.497096 0 4 "0.025797,0.577983,0.116412,0.279808" 5 1 1000
1004 puboi 14 2 "4,10" "2.000000,1" 1.220761 0 4 "0.116217,0.743552,0.021070,0.119161" 5 1 1000
1005 puboi 14 2 "4,10" "2.000000,1" 1.358451 0 4 "0.094003,0.754174,0.150850,0.000974" 5 1 1000
1006 puboi 14 2 "4,10" "2.000000,1" 1.126368 0 4 "0.409688,0.423452,0.066688,0.100172" 5 1 1000
1007 puboi 14 2 "4,10" "2.000000,1" 1.232831 0 4 "0.049468,0.253888,0.301429,0.395215" 5 1 1000
1008 puboi 14 2 "4,10" "2.000000,1" 1.304234 0 4 "0.060639,0.007027,0.560490,0.371843" 5 1 1000
1009 puboi 14 2 "4,10" "2.000000,1" 1.458544 0 4 "0.052017,0.116876,0.156152,0.674955" 5 1 1000
1010 puboi 14 2 "4,10" "2.000000,1" 1.092512 0 4 "0.302270,0.123396,0.315092,0.259242" 5 1 1000
1011 puboi 14 2 "4,10" "2.000000,1" 1.011560 0 4 "0.080557,0.691067,0.049029,0.179347" 5 1 1000
1012 puboi 14 2 "4,10" "2.000000,1" 1.200068 0 4 "0.023131,0.425924,0.034735,0.516210" 5 1 1000
1013 puboi 14 2 "4,10" "2.000000,1" 1.194168 0 4 "0.472460,0.065430,0.122135,0.339976" 5 1 1000
1014 puboi 14 2 "4,10" "2.000000,1" 1.484859 0 4 "0.285402,0.011147,0.074063,0.629388" 5 1 1000
1015 puboi 14 2 "4,10" "2.000000,1" 1.228991 0 4 "0.237896,0.052743,0.162229,0.547132" 5 1 1000
1016 puboi 14 2 "4,10" "2.000000,1" 1.383573 0 4 "0.099514,0.190730,0.483545,0.226211" 5 1 1000
1017 puboi 14 2 "4,10" "2.000000,1" 1.104221 0 4 "0.216710,0.063463,0.628480,0.091346" 5 1 1000
1018 puboi 14 2 "4,10" "2.000000,1" 1.098522 0 4 "0.279718,0.412372,0.271762,0.036148" 5 1 1000
1019 puboi 14 2 "4,10" "2.000000,1" 1.066286 0 4 "0.179126,0.047793,0.524390,0.248691" 5 1 1000
1020 puboi 14 2 "4,10" "2.000000,1" 1.414834 0 4 "0.233360,0.203816,0.137842,0.424982" 5 1 1000
1021 puboi 14 2 "4,10" "2.000000,1" 1.044049 0 4 "0.284192,0.236056,0.108284,0.371468" 5 1 1000
1022 puboi 14 2 "4,10" "2.000000,1" 1.112577 0 4 "0.033588,0.100485,0.027575,0.838352" 5 1 1000
1023 puboi 14 2 "4,10" "2.000000,1" 1.340740 0 4 "0.059388,0.313633,0.012890,0.614089" 5 1 1000
1024 puboi 14 2 "4,10" "2.000000,1" 1.334498 0 4 "0.072419,0.705496,0.076825,0.145260" 5 1 1000
